representation,sentiment_test_macro_f1,sentiment_test_accuracy,category_test_macro_f1,category_test_accuracy,recall_at_10,mrr_at_10,nmi_category,ari_category,nmi_sentiment,ari_sentiment
tfidf,0.670312129093618,0.8836722869796628,0.7389308919300261,0.7390204223254413,0.872,0.5368488095238092,0.0031462489946864547,0.0016764114872652215,0.037708421155954984,-0.03056896086330283
word2vec,0.5743898325267135,0.8576198285428103,0.6736690791476205,0.6682836932363118,0.921,0.6918920634920636,0.0057876760370386615,0.003541583410970096,0.06898116152938916,-0.10604148816384958
lsa,0.575571217679885,0.8566672885999627,0.6172324194782857,0.6166959629982423,0.864,0.5184210317460312,0.003046072972765071,0.0007315935023694682,0.029430847249083552,-0.0748986326081937
